canonical_accounting_office_name,accounting_office_cvr,alias_name,source,confidence
2+ Revision,39701863,2+ Revision,declaration_legal_name,HIGH
2+ Revision Grønland Statsautoriserede Revisorer ApS,42793744,2+ Revision Grønland Statsautoriserede Revisorer ApS,declaration_legal_name,HIGH
2A Revision,37903949,2A Revision,declaration_legal_name,HIGH
2TalRevision,29091331,2TalRevision,declaration_legal_name,HIGH
2TalRevision v/Jan Christensen,20935790,2TalRevision v/Jan Christensen,declaration_legal_name,HIGH
2TalRevision v/Jan Christensen,20935790,2Talrevision,inferred_brand_name,MEDIUM
3H Revision,98088857,3H Revision,declaration_legal_name,HIGH
A Albrechtsen Revision,10291984,A Albrechtsen Revision,declaration_legal_name,HIGH
A Revision,18186144,A Revision,declaration_legal_name,HIGH
A-INVEST KONTOR- OG BOGFØRINGSASSISTANCE ApS,19154807,A-INVEST KONTOR- OG BOGFØRINGSASSISTANCE ApS,declaration_legal_name,HIGH
A-revisor,29105545,A-revisor,declaration_legal_name,HIGH
A. Bjørn - Statsautoriseret revisionsanpartsselskab,30898664,A. Bjørn - Statsautoriseret revisionsanpartsselskab,declaration_legal_name,HIGH
A4 Revsion,29205043,A4 Revsion,declaration_legal_name,HIGH
AA revisionsanpartsselskabet,27607764,AA revisionsanpartsselskabet,declaration_legal_name,HIGH
Aaen & Co.,33241763,Aaen & Co.,declaration_legal_name,HIGH
Aaen & Co.,33241763,Aaen,inferred_brand_name,MEDIUM
Aage & Povl Holm,14759840,Aage & Povl Holm,declaration_legal_name,HIGH
Aage & Povl Holm,14759840,Aage,inferred_brand_name,MEDIUM
Aage Maagensen,12901038,Aage Maagensen,declaration_legal_name,HIGH
Aage Maagensen,12901038,Aage,inferred_brand_name,MEDIUM
Aage Maagensen,12901038,Aage Mogensen,manual_taxonomy_candidate,MEDIUM
AB-Revision,26624479,AB-Revision,declaration_legal_name,HIGH
ABL Revision,39702215,ABL Revision,declaration_legal_name,HIGH
ABL Revision,39702215,Abl,inferred_brand_name,MEDIUM
ABM-Revision,29234590,ABM-Revision,declaration_legal_name,HIGH
ABM-Revision,29234590,Abm,inferred_brand_name,MEDIUM
Abrahamsen Revision,41109483,Abrahamsen Revision,declaration_legal_name,HIGH
Abrahamsen Revision,41109483,Abrahamsen,inferred_brand_name,MEDIUM
AC Revision - Registreret Revisionsanpartsselskab,35050469,AC Revision - Registreret Revisionsanpartsselskab,declaration_legal_name,HIGH
Activ-Revision,90566059,Activ-Revision,declaration_legal_name,HIGH
Activ-Revision,90566059,Activ,inferred_brand_name,MEDIUM
ADDCO P/S Godkendte Revisorer,36464852,ADDCO P/S Godkendte Revisorer,declaration_legal_name,HIGH
ADDCO P/S Godkendte Revisorer,36464852,Addco,inferred_brand_name,MEDIUM
Addere Revision,34589992,Addere Revision,declaration_legal_name,HIGH
Addere Revision,34589992,Addere,inferred_brand_name,MEDIUM
Addvisers,32888658,Addvisers,declaration_legal_name,HIGH
Advisor-Revision,34213798,Advisor-Revision,declaration_legal_name,HIGH
Advisor-Revision,34213798,Advisor,inferred_brand_name,MEDIUM
Advosion,37557064,Advosion,declaration_legal_name,HIGH
Afrodite Hår og Trend v/Rita Truelsen,26916402,Afrodite Hår og Trend v/Rita Truelsen,declaration_legal_name,HIGH
Afrodite Hår og Trend v/Rita Truelsen,26916402,Afrodite,inferred_brand_name,MEDIUM
Agenda Revision,32160565,Agenda Revision,declaration_legal_name,HIGH
Agenda Revision,32160565,Agenda,inferred_brand_name,MEDIUM
Agerbor Gruppen,31742781,Agerbor Gruppen,declaration_legal_name,HIGH
Agerbor Gruppen,31742781,Agerbor,inferred_brand_name,MEDIUM
Agillix Fmba,45000370,Agillix Fmba,declaration_legal_name,HIGH
Agillix Fmba,45000370,Agillix,inferred_brand_name,MEDIUM
Agri Nord,29038597,Agri Nord,declaration_legal_name,HIGH
Agri Nord,29038597,Agri,inferred_brand_name,MEDIUM
AHJ Revision,27489559,AHJ Revision,declaration_legal_name,HIGH
AHJ Revision,27489559,Ahj,inferred_brand_name,MEDIUM
aj2,21090174,aj2,declaration_legal_name,HIGH
Aktiv Regnskab og Skat,39791374,Aktiv Regnskab og Skat,declaration_legal_name,HIGH
Aktiv Regnskab og Skat,39791374,Aktiv,inferred_brand_name,MEDIUM
Aktiv Revision og Rådgivning,12488106,Aktiv Revision og Rådgivning,declaration_legal_name,HIGH
Aktiv Revision og Rådgivning,12488106,Aktiv,inferred_brand_name,MEDIUM
Aktiv Revision Silkeborg,14788107,Aktiv Revision Silkeborg,declaration_legal_name,HIGH
Aktiv Revision Silkeborg,14788107,Aktiv,inferred_brand_name,MEDIUM
Albjerg,35382879,Albjerg,activity_signal_dominant_cvr,HIGH
Albjerg,35382879,Albjerg,declaration_legal_name,HIGH
Alexandersen Revision,11916546,Alexandersen Revision,declaration_legal_name,HIGH
Alexandersen Revision,11916546,Alexandersen,inferred_brand_name,MEDIUM
Algade Revision,35663916,Algade Revision,declaration_legal_name,HIGH
Algade Revision,35663916,Algade,inferred_brand_name,MEDIUM
Alpha Revision v/Søren Nymann,38269216,Alpha Revision v/Søren Nymann,declaration_legal_name,HIGH
Alpha Revision v/Søren Nymann,38269216,Alpha,inferred_brand_name,MEDIUM
Alt i Regnskab & Rådgivning ApS,44405016,Alt i Regnskab & Rådgivning ApS,declaration_legal_name,HIGH
Alt i Regnskab & Rådgivning ApS,44405016,Alt,inferred_brand_name,MEDIUM
Alter Audit ApS,44387263,Alter Audit ApS,declaration_legal_name,HIGH
Alter Audit ApS,44387263,Alter,inferred_brand_name,MEDIUM
Andersen,10108454,Andersen,declaration_legal_name,HIGH
Andersen & Novakovic statsautoriseret revisionsanpartsselskab,44535122,Andersen & Novakovic statsautoriseret revisionsanpartsselskab,declaration_legal_name,HIGH
Andersen & Novakovic statsautoriseret revisionsanpartsselskab,44535122,Andersen,inferred_brand_name,MEDIUM
Andersen og Partnere,26668840,Andersen og Partnere,declaration_legal_name,HIGH
Andersen og Partnere,26668840,Andersen,inferred_brand_name,MEDIUM
Andersen Revision,32326706,Andersen Revision,declaration_legal_name,HIGH
Andersen Revision,32326706,Andersen,inferred_brand_name,MEDIUM
Andersen Revision & Rådgivning,38347799,Andersen Revision & Rådgivning,declaration_legal_name,HIGH
Andersen Revision & Rådgivning,38347799,Andersen,inferred_brand_name,MEDIUM
Anker Høst,31626536,Anker Høst,declaration_legal_name,HIGH
Anker Høst,31626536,Anker,inferred_brand_name,MEDIUM
APEX Statsautoriserede revisorer ApS,42936847,APEX Statsautoriserede revisorer ApS,declaration_legal_name,HIGH
APEX Statsautoriserede revisorer ApS,42936847,Apex,inferred_brand_name,MEDIUM
ARIES,26454123,ARIES,declaration_legal_name,HIGH
Aros,29690065,Aros,declaration_legal_name,HIGH
Asgård Finans,26186897,Asgård Finans,declaration_legal_name,HIGH
Asgård Finans,26186897,Asgård,inferred_brand_name,MEDIUM
Asla Revision,28483902,Asla Revision,declaration_legal_name,HIGH
Asla Revision,28483902,Asla,inferred_brand_name,MEDIUM
Asset,34901694,Asset,declaration_legal_name,HIGH
Assistance og rådgivning ApS,21821578,Assistance og rådgivning ApS,declaration_legal_name,HIGH
Assistance og rådgivning ApS,21821578,Assistance,inferred_brand_name,MEDIUM
Atomwine ApS,37701424,Atomwine ApS,declaration_legal_name,HIGH
Atomwine ApS,37701424,Atomwine,inferred_brand_name,MEDIUM
Attent Statsautoriseret Revisionsanpartsselskab,36427205,Attent Statsautoriseret Revisionsanpartsselskab,declaration_legal_name,HIGH
Attent Statsautoriseret Revisionsanpartsselskab,36427205,Attent,inferred_brand_name,MEDIUM
Attiri,33357966,Attiri,declaration_legal_name,HIGH
