accounting_office_name,arr_2022,arr_2023,arr_2024,arr_2025,arr_2026
"Grant Thornton, Godkendt Revisionspartnerselskab",0.0,0.0,0.0,170015.0,381603.2
Powered-By Statsautoriseret Revisionspartnerselskab,0.0,0.0,0.0,20000.0,109040.0
SKOV REVISION REGISTRERET REVISIONSANPARTSSELSKAB,31296.0,31296.0,9352.0,26000.0,62500.0
REVISIONSFIRMAET EDELBO STATSAUTORISERET REVISIONSPARTNERSELSKAB,0.0,0.0,0.0,58800.0,58800.0
REVIMIDT Godkendt Revisionsaktieselskab,0.0,0.0,0.0,0.0,46588.0
Revisionsfirmaet Axel Gram I/S,0.0,0.0,0.0,29400.0,29400.0
E-conomia Consulting ApS,0.0,0.0,25200.0,25200.0,25200.0
Kreston CM Statsautoriseret Revisions interessentskab,0.0,0.0,0.0,21400.0,24225.6
"DANSK REVISION ÅRHUS, GODKENDT REVISIONSAKTIESELSKAB",28824.0,36030.0,20000.0,20000.0,20000.0
Erhvervshus Midtjylland S/I,0.0,18000.0,18000.0,18000.0,18000.0
BUUS JENSEN I/S STATSAUTORISEREDE REVISORER,0.0,0.0,9000.0,13116.0,17232.0
RevisorGruppen v/Lilly Jeppesen,0.0,0.0,0.0,10000.0,13245.8
Danrevi Løgstør,0.0,0.0,10000.0,12145.0,10000.0
LEIF MIKKELSEN & PARTNERE A/S,0.0,0.0,10000.0,10000.0,10000.0
Ellebæk Revision godkendt revisionsanpartsselskab,0.0,0.0,0.0,10000.0,10000.0
LPOG ApS STATSAUTORISEREDE REVISORER,0.0,0.0,9000.0,9000.0,9000.0
Cloud Controlling ApS,0.0,0.0,0.0,0.0,6600.0
"BEIERHOLM, STATSAUTORISERET REVISIONSPARTNERSELSKAB",9310.5,6138.0,0.0,6138.0,6138.0
TALECO ApS,10085.25,11865.0,8305.5,10085.25,0.0
"DANSK REVISION RANDERS, GODKENDT REVISIONSPARTNERSELSKAB",0.0,137148.0,0.0,0.0,0.0
EY Godkendt Revisionspartnerselskab,0.0,0.0,105402.0,0.0,0.0
Ri Statsautoriseret Revisionspartnerselskab,0.0,0.0,18600.0,50400.0,0.0
DANSK REVISION HOLBÆK GODKENDT REVISIONSPARTNERSELSKAB,28824.0,36030.0,0.0,0.0,0.0
"Ri, Statsautoriseret Revisionsaktieselskab",4497.0,0.0,50400.0,0.0,0.0
"DANSK REVISION SØBORG, STATSAUTORISERET REVISIONSAKTIESELSKAB",23338.8,25932.0,0.0,0.0,0.0
KPMG P/S,14640.0,0.0,29280.0,0.0,0.0
Kvist & Jensen Statsautoriseret Revisionspartnerselskab,21210.0,21210.0,0.0,0.0,0.0
Movital P/S,0.0,19188.0,19188.0,0.0,0.0
DELOITTE STATSAUTORISERET REVISIONSPARTNERSELSKAB,18000.0,18000.0,0.0,0.0,0.0
FIRST ECONOMY ApS,30508.0,0.0,0.0,0.0,0.0
Profitura Accounting AB,28070.4,28070.4,0.0,-28070.4,0.0
Velas I/S,0.0,28000.0,0.0,0.0,0.0
Adhoc Regnskab,8985.0,7188.0,7188.0,0.0,0.0
Regnskabshuset v/Anne Thomasen,15144.0,0.0,7572.0,0.0,0.0
ØENS Virksomhedsadministration ApS,14376.0,7188.0,0.0,0.0,0.0
Laigaard Accounting ApS,21555.0,0.0,0.0,0.0,0.0
DANSK REVISION AALBORG GODKENDT REVISIONSAKTIESELSKAB,50473.5,0.0,-29497.5,0.0,0.0
REGNSKABSVIRKSOMHEDEN SCHAUMBURG/BENDTSEN ApS,8388.0,10485.0,0.0,0.0,0.0
Finanschefen,0.0,0.0,17988.0,0.0,0.0
Repenso Danmark ApS,17988.0,0.0,0.0,0.0,0.0
Startup Central ApS,0.0,17988.0,0.0,0.0,0.0
BOGHOLDERINDEN ApS,9735.0,7788.0,0.0,0.0,0.0
REVISIONSFIRMAET GUTFELT A/S,7188.0,10195.0,0.0,0.0,0.0
Schytz Administration,7902.0,3512.0,5268.0,0.0,0.0
ACCOUNTING.DK ApS,15705.0,0.0,0.0,0.0,0.0
NORDKYST REVISION GODKENDT REVISIONSPARTNERSELSKAB,14835.0,0.0,0.0,0.0,0.0
Revisionshuset Tal & Tanker Statsautoriseret Revisionspartnerselskab,14820.0,0.0,0.0,0.0,0.0
DANSK REVISION FREDERIKSSUND REGISTRERET REVISIONSANPARTSSELSKAB,14505.6,0.0,0.0,0.0,0.0
Kraft Regnskab,11940.0,0.0,0.0,0.0,0.0
KVALITETSREVISION GODKENDT REVISIONSPARTNERSELSKAB,9340.8,0.0,0.0,0.0,0.0
Legendary Accounting Sverige AB,9043.2,0.0,0.0,0.0,0.0
Din Bogholder ApS,6132.0,0.0,9000.0,0.0,0.0
Lindvig & Co. ApS,9000.0,0.0,0.0,0.0,0.0
Probitas I/S,9000.0,0.0,0.0,0.0,0.0
CVO ApS,16863.01,20415.4,-28846.9,0.0,0.0
D.A Revision ApS,7188.0,0.0,0.0,0.0,0.0
"Verum Cura, godkendt revisionsvirksomhed",6228.0,0.0,0.0,0.0,0.0
Acotio A/S,5652.0,0.0,0.0,0.0,0.0
VISTISEN & LUNDE STATSAUTORISERET REVISIONSPARTNERSELSKAB,5268.0,0.0,0.0,0.0,0.0
Ekoxens Företagstjänst,10060.8,-5030.4,0.0,0.0,0.0
Krydsrevision ApS Godkendt Revisionsfirma,4788.0,0.0,0.0,0.0,0.0
PBAB Redovisning & Revision AB,3158.4,0.0,0.0,0.0,0.0
Revision Ry & Hammel Godkendt Revisionsaktieselskab,9000.0,18600.0,18600.0,0.0,0.0
Stoisk,8268.0,8268.0,8268.0,8268.0,0.0
Lokal Revision - statsautoriseret revisionsanpartsselskab,7068.0,7068.0,7068.0,0.0,0.0
BAAGØE SCHOU STATSAUTORISERET REVISIONSAKTIESELSKAB,0.0,0.0,9000.0,0.0,0.0
RegnskabsHuset.com,0.0,0.0,0.0,9000.0,0.0
