accounting_office_name,accounting_office_cvr,status,arr_total,arr_h1,arr_h2,smes_invoiced,invoice_month,notes,arr_jan,arr_feb,arr_mar,arr_apr,arr_maj,arr_jun,arr_jul,arr_aug,arr_sep,arr_okt,arr_nov,arr_dec
"Grant Thornton, Godkendt Revisionspartnerselskab",34209936,A,381603.2,381603.2,0.0,,,,381603.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Powered-By Statsautoriseret Revisionspartnerselskab,44282380,A,109040.0,109040.0,0.0,,,,109040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKOV REVISION REGISTRERET REVISIONSANPARTSSELSKAB,27525989,A,62500.0,1500.0,61000.0,122,,,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,61000.0,0.0,0.0,0.0
REVISIONSFIRMAET EDELBO STATSAUTORISERET REVISIONSPARTNERSELSKAB,35486178,A,58800.0,58800.0,0.0,,,,0.0,58800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REVIMIDT Godkendt Revisionsaktieselskab,34480370,A,46588.0,46588.0,0.0,,,,0.0,46588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revisionsfirmaet Axel Gram I/S,16645699,A,29400.0,29400.0,0.0,,,,29400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E-conomia Consulting ApS,44268965,C,25200.0,12600.0,12600.0,,,,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0
Kreston CM Statsautoriseret Revisions interessentskab,39463113,A,24225.6,24225.6,0.0,,,,0.0,0.0,0.0,24225.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DANSK REVISION ÅRHUS, GODKENDT REVISIONSAKTIESELSKAB",26717671,A,20000.0,0.0,20000.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0
Erhvervshus Midtjylland S/I,40084606,C,18000.0,0.0,18000.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,0.0,0.0
BUUS JENSEN I/S STATSAUTORISEREDE REVISORER,36029374,A,17232.0,5880.0,11352.0,,,,0.0,0.0,0.0,1764.0,4116.0,0.0,0.0,0.0,0.0,0.0,11352.0,0.0
RevisorGruppen v/Lilly Jeppesen,18587246,A,13245.8,13245.8,0.0,,,,0.0,0.0,10300.0,0.0,2945.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danrevi Løgstør,27125611,A,10000.0,0.0,10000.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
Ellebæk Revision godkendt revisionsanpartsselskab,43325000,A,10000.0,0.0,10000.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0
LEIF MIKKELSEN & PARTNERE A/S,32676421,A,10000.0,0.0,10000.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0
LPOG ApS STATSAUTORISEREDE REVISORER,33167288,O,9000.0,0.0,9000.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,0.0,0.0
Admin4you,_admin4you,C,9000.0,9000.0,0.0,,,,0.0,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cloud Controlling ApS,_cloudcontrolling,C,6600.0,0.0,6600.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6600.0,0.0,0.0,0.0
"BEIERHOLM, STATSAUTORISERET REVISIONSPARTNERSELSKAB",32895468,A,6138.0,6138.0,0.0,,,,0.0,0.0,0.0,6138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAAGØE SCHOU STATSAUTORISERET REVISIONSAKTIESELSKAB,21148148,O,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lokal Revision - statsautoriseret revisionsanpartsselskab,41943661,O,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RegnskabsHuset.com,18067676,O,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revision Ry & Hammel Godkendt Revisionsaktieselskab,26267439,O,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stoisk,28919719,O,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TALECO ApS,30525035,O,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
