accounting_office_cvr,accounting_office_name,mne,auditor_name,clients,clients_on_crediwire,coverage_pct,untapped_clients
12901038,Aage Maagensen,mne26784,Thomas Henckel,183,0,0.0,183
12901038,Aage Maagensen,mne30218,Tina Ørum Hansen,112,2,0.0179,110
12901038,Aage Maagensen,mne35784,Christina Wibholm,72,0,0.0,72
12901038,Aage Maagensen,mne49058,Anne Grete Bøgh,34,0,0.0,34
12901038,Aage Maagensen,Ukendt revisor,Ukendt revisor,11,0,0.0,11
34589992,Addere Revision,mne40762,Rasmus Emil Dehn Larsen,292,1,0.0034,291
34589992,Addere Revision,mne31474,Brian Hildskov Hansen,262,0,0.0,262
34589992,Addere Revision,mne10798,Søren Nielsen,165,0,0.0,165
34589992,Addere Revision,mne50628,Eva Lynge Nielsen,126,0,0.0,126
34589992,Addere Revision,mne28700,Lars Christian Schjødt Ankersen,125,0,0.0,125
34589992,Addere Revision,mne26911,Leo Kjeldsmark,95,0,0.0,95
34589992,Addere Revision,Ukendt revisor,Ukendt revisor,30,0,0.0,30
35382879,Albjerg,mne40143,Anders Christian Salomonsen,431,1,0.0023,430
35382879,Albjerg,mne34138,Michel Vincent van Overdijk Laursen,240,8,0.0333,232
35382879,Albjerg,mne16567,Palle Valentin Kubach,188,1,0.0053,187
35382879,Albjerg,mne27747,Sara Lissen Hammer,160,0,0.0,160
35382879,Albjerg,mne32774,Dorthe Brandt Andersen,118,0,0.0,118
35382879,Albjerg,mne46620,Anders Mathias Jessen,23,0,0.0,23
35382879,Albjerg,Ukendt revisor,Ukendt revisor,9,0,0.0,9
35382879,Albjerg,mne15008,Pia Søndergaard,8,0,0.0,8
35382879,Albjerg,mne10061,Tommy Nørskov Rasmussen,2,0,0.0,2
31626536,Anker Høst,mne16922,Flemming Brunsgaard Mørup,307,0,0.0,307
31626536,Anker Høst,mne31411,Karsten Nielsen,199,2,0.0101,197
31626536,Anker Høst,mne4334,Jørgen Eluf Paulsen,8,0,0.0,8
31626536,Anker Høst,Ukendt revisor,Ukendt revisor,1,0,0.0,1
29690065,Aros,mne29462,Henning Juel Møller,360,0,0.0,360
29690065,Aros,mne34278,Morten Boye Ballum Birkebæk,334,0,0.0,334
29690065,Aros,mne34279,Villy Rabe Bech Mousten,207,0,0.0,207
29690065,Aros,mne10547,Kai Marius Møller,164,0,0.0,164
29690065,Aros,mne35664,Martin Edvardsen Vad,108,0,0.0,108
29690065,Aros,Ukendt revisor,Ukendt revisor,10,0,0.0,10
36427205,Attent Statsautoriseret Revisionsanpartsselskab,mne46609,Thomas Søgaard Christensen,174,1,0.0057,173
36427205,Attent Statsautoriseret Revisionsanpartsselskab,mne19789,Allan Hess Andersen,153,0,0.0,153
36427205,Attent Statsautoriseret Revisionsanpartsselskab,Ukendt revisor,Ukendt revisor,1,0,0.0,1
36029374,BUUS JENSEN I/S STATSAUTORISEREDE REVISORER,mne29456,Ulrik Nørskov,302,6,0.0199,296
36029374,BUUS JENSEN I/S STATSAUTORISEREDE REVISORER,mne27764,Søren Skouboe Tholle,209,0,0.0,209
36029374,BUUS JENSEN I/S STATSAUTORISEREDE REVISORER,mne44149,Benjamin Møller Obel,200,0,0.0,200
36029374,BUUS JENSEN I/S STATSAUTORISEREDE REVISORER,mne34295,Michael Thorngreen Markussen,194,1,0.0052,193
36029374,BUUS JENSEN I/S STATSAUTORISEREDE REVISORER,mne27757,Arne Otto Sørensen,144,1,0.0069,143
36029374,BUUS JENSEN I/S STATSAUTORISEREDE REVISORER,mne32825,Lotte Nørskov,140,0,0.0,140
36029374,BUUS JENSEN I/S STATSAUTORISEREDE REVISORER,mne34128,Thomas Lehmann Jensen,127,0,0.0,127
36029374,BUUS JENSEN I/S STATSAUTORISEREDE REVISORER,mne47790,Peter Leth Keller,86,10,0.1163,76
36029374,BUUS JENSEN I/S STATSAUTORISEREDE REVISORER,mne6251,Ole Marquard,50,1,0.02,49
36029374,BUUS JENSEN I/S STATSAUTORISEREDE REVISORER,mne34277,Christoffer Jensen,32,0,0.0,32
36029374,BUUS JENSEN I/S STATSAUTORISEREDE REVISORER,mne34129,Kristian Klarholt Jensen,24,1,0.0417,23
36029374,BUUS JENSEN I/S STATSAUTORISEREDE REVISORER,mne10067,Gerhard Henrik Paaske,12,0,0.0,12
36029374,BUUS JENSEN I/S STATSAUTORISEREDE REVISORER,Ukendt revisor,Ukendt revisor,3,0,0.0,3
21148148,Baagøe Schou,mne34097,Torben Brun Petersen,385,0,0.0,385
21148148,Baagøe Schou,mne35405,Nikolaj Kure Jensen,266,0,0.0,266
21148148,Baagøe Schou,mne21443,Bent Pallesen,197,0,0.0,197
21148148,Baagøe Schou,mne34597,Niklas Tullberg Hoff,156,5,0.0321,151
21148148,Baagøe Schou,mne40142,Louis Frits Strøm,125,0,0.0,125
21148148,Baagøe Schou,mne10850,Søren Henrik Larsen,83,0,0.0,83
21148148,Baagøe Schou,Ukendt revisor,Ukendt revisor,15,0,0.0,15
35257691,Baker Tilly Denmark,mne34482,Morten Friis Munksgaard,623,1,0.0016,622
35257691,Baker Tilly Denmark,mne41287,Peter Aagesen,376,0,0.0,376
35257691,Baker Tilly Denmark,mne32172,Morten Søndergaard Schwensen,319,0,0.0,319
35257691,Baker Tilly Denmark,mne36180,Christoffer Pedersen,294,0,0.0,294
35257691,Baker Tilly Denmark,mne17323,Ole Schmidt,268,0,0.0,268
