accounting_office_cvr,accounting_office_name,active_erp_connections,purchased_companies,source,snapshot_date
34209936,"Grant Thornton, Godkendt Revisionspartnerselskab",715,740,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
35486178,REVISIONSFIRMAET EDELBO STATSAUTORISERET REVISIONSPARTNERSELSKAB,81,100,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
27525989,Skov Revision ApS,137,125,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
16645699,Revisionsfirmaet Axel Gram I/S,48,50,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
26717671,"DANSK REVISION ÅRHUS, GODKENDT REVISIONSPARTNERSELSKAB",19,20,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
32676421,LEIF MIKKELSEN & PARTNERE A/S,16,15,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
36029374,BUUS JENSEN I/S STATSAUTORISEREDE REVISORER,21,5,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
10019699,Danrevi Løgstør I/S,16,18,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
44282380,Powered-By Statsautoriseret Revisionspartnerselskab,80,110,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
34953619,RevisorGruppen I/S,19,19,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
18437082,Lægård Revision,12,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
39463113,Kreston CM Statsautoriseret Revisions interessentskab,20,20,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
25160037,"PIASTER REVISORERNE, STATSAUTORISERET REVISIONSAKTIESELSKAB",6,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
32895468,Beierholm,8,4,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
37543128,Roesgaard Godkendt Revisionspartnerselskab,4,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
34480370,Revi Midt,29,38,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
89224918,Krøyer Pedersen Statsautoriserede Revisorer I/S,3,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
38732420,Plature,0,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
36561505,EY Godkendt Revisionspartnerselskab,2,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
35382879,Albjerg,10,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
29919801,Dansk Revision Slagelse & Nyborg,3,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
53371914,Ri- Statsautoriseret Revisionsaktieselskab,5,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
10130115,Martinsen Statsautoriseret Revisionspartnerselskab,0,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
15807776,Partner Revision statsautoriseret revisionsaktieselskab,6,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
33932464,Copenhagen Management Accounting Company ApS,0,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
33167288,"LPOG ApS, Statsautoriserede Revisorer",5,5,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
35143408,Aage Mogensen,0,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
32093272,Ullits & Winther Statsautoriseret Revisionspartnerselskab,2,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
44268965,E-conomia Consulting ApS,26,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
14119299,PKF revision,0,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
413887,Roknskaparfelagið skrásettir grannskoðarar Sp/f,0,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
13865639,"REDMARK, GODKENDT REVISIONSPARTNERSELSKAB",0,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
13254192,Revisionsfirmaet Gutfelt A/S,3,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
28655835,Regnskabsvirksomheden Schaumburg/Bendtsen ApS,7,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
37654795,PJ Køleteknik ApS,0,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
33578628,Regnskabsfokus,0,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
40612246,The White Box,0,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
28493584,ERASMUS & PARTNERE A/S,0,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
29695636,REVISIONSCENTRET AABENRAA & PADBORG GODKENDT REVISIONSAKTIESELSKAB,4,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
38751646,"KOVSTED & SKOVGÅRD, REVISION & RÅDGIVNING, STATSAUTORISERET REVISIONSPARTNERSELSKAB",1,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
33948794,Kreston SR Statsautoriseret Revisionspartnerselskab,0,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
30525035,Taleco ApS,0,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
21148148,BAAGØE SCHOU STATSAUTORISERET REVISIONSAKTIESELSKAB,5,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
43325000,Ellebæk Revision Godkendt Revisionsanpartsselskab,8,15,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
28919719,Stoisk,0,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
18067676,RegnskabsHuset.com,2,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
53371914,Pro account,5,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
42027995,Gaaga,1,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
42269425,Sand bogholderi,0,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
27083978,Unknown,2,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
40084606,Erhvervshus Midtjylland S/I,7,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
33771231,PWC STATSAUTORISERET REVISIONSPARTNERSSELSKAB,4,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
30498674,Vestjysk Consulting,0,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
44729989,NM Regnskab ApS,0,0,Downloads master sheet (52).xlsx Data analysis master sheet,2026-07-02
