accounting_office_cvr,accounting_office_name,mne_source_name,declarations_2025_2026,class_b,class_b_assistance,class_b_extended_review,class_b_audit,class_b_review,addressable_annual_reports,class_other
32895468,Beierholm,Beierholm,35200,34234,17236,10193,6491,313,27429,951
45719375,BDO,BDO,24556,23764,11964,9538,2253,8,21502,738
33771231,PricewaterhouseCoopers,PricewaterhouseCoopers,16447,14246,4570,4042,5613,12,8612,1985
24213714,Deloitte,Deloitte,13553,11991,2617,4651,4691,31,7268,1410
34209936,Grant Thornton,Grant Thornton,11860,11571,6331,4338,862,37,10669,266
30700228,EY,EY,10097,8587,2209,1996,4348,31,4205,1185
32285201,Martinsen,Martinsen,8483,8324,4368,2749,1157,48,7117,156
29442789,Redmark,Redmark,6247,6122,3095,1750,1271,6,4845,122
15807776,Partner Revision,Partner Revision,5599,5461,3094,1511,852,3,4605,137
25492145,RSM,RSM,5383,5299,3280,1425,572,22,4705,82
35257691,Baker Tilly Denmark,Baker Tilly Denmark,3888,3815,1823,1212,772,8,3035,73
15915641,Christensen Kjærulff,Christensen Kjærulff,3140,3053,1420,933,679,20,2353,86
19263096,Inforevision,Inforevision,3069,2976,1163,671,1123,18,1834,69
37543128,Roesgaard,Roesgaard,2914,2809,1148,804,854,2,1952,105
31824559,Sønderup,Sønderup Godkendt Revisionsaktieselskab + Sønderup,1922,1899,1186,530,159,24,1716,21
33241763,Aaen & Co.,Aaen & Co.,1684,1666,994,412,256,4,1406,16
37315664,Revisionshuset Tal & Tanker,Revisionshuset Tal & Tanker,1636,1633,1045,512,67,9,1557,3
18061635,Sønderjyllands revision,Sønderjyllands revision,1615,1569,690,636,242,1,1326,46
36029374,BUUS JENSEN I/S STATSAUTORISEREDE REVISORER,Buus Jensen,1523,1499,703,269,498,29,972,24
37999687,"JS Revision, Godkendt Revisionsaktieselskab","JS Revision, Godkendt Revisionsaktieselskab",1413,1408,1049,242,116,1,1291,5
25160037,Piaster Revisorerne,Piaster Revisorerne,1389,1376,807,361,204,2,1168,12
38751646,Kovsted & Skovgård,Kovsted & Skovgård,1273,1267,802,376,87,2,1178,6
39463113,Kreston CM,Kreston CM,1256,1235,650,270,311,4,920,21
21148148,Baagøe Schou,Baagøe Schou,1227,1217,637,214,355,9,851,9
33256876,Crowe,Crowe,1219,1199,551,368,268,12,919,20
25578198,KPMG,KPMG,1206,864,128,168,515,48,296,322
29690065,Aros,Aros,1183,1178,734,386,58,0,1120,5
35382879,Albjerg,Albjerg,1179,1168,714,92,358,4,806,11
34589992,Addere Revision,Addere Revision,1095,1069,560,181,325,3,741,26
89224918,Krøyer Pedersen Statsautoriserede Revisorer,Krøyer Pedersen Statsautoriserede Revisorer P/S + Krøyer Pedersen Statsautoriserede Revisorer,1090,1056,549,308,179,20,857,34
35486178,Revisionsfirmaet Edelbo,Revisionsfirmaet Edelbo,1046,1023,422,157,443,1,579,22
38914766,RéVision+,RéVision+ Statsautoriseret Revisionsanpartsselskab + R-Vision + RéVision+,1008,1008,783,196,25,2,979,0
37121924,Øernes Revision,Øernes Revision,956,941,681,209,49,2,890,10
82218912,Dansk Revision Odense,Dansk Revision Odense,950,944,551,331,61,1,882,5
29695636,Revisionscentret Aabenraa,Revisionscentret Aabenraa,906,895,469,397,29,0,866,11
17524305,Nærrevision,Nærrevision,889,881,666,154,60,1,820,8
29919801,Dansk Revision Slagelse,Dansk Revision Slagelse,853,842,556,245,39,2,801,10
32093272,Ullits & Winther,Ullits & Winther,843,818,427,242,148,1,669,25
25593995,Råd & Revision,Revision & Råd + REVISION & RÅD STATSAUTORISERET REVISIONSPARTNERSELSKAB + Råd & Revision,836,828,418,361,49,0,779,8
14649905,Dansk Revision Søborg,Dansk Revision Søborg,823,814,535,171,106,1,706,5
26267439,Revision Ry & Hammel,Revision Ry & Hammel,820,816,586,153,77,0,739,3
28853343,Dansk Revision Holbæk,Dansk Revision Holbæk,811,804,498,214,89,3,712,6
36480254,Kvalitetsrevision,Kvalitetsrevision,810,808,573,208,27,0,781,2
28309791,Revision Sjælland,Revision Sjælland,796,792,552,176,63,1,728,3
78337818,Blicher Revision & Rådgivning,Blicher Revision & Rådgivning,776,771,483,141,138,9,624,5
39701863,2+ Revision,Revision 2 + 2+ Revision,772,766,402,271,92,0,673,6
14119299,PKF Munkebo Vindelev,PKF Munkebo Vindelev,733,724,184,39,499,2,223,9
30195264,Kallermann Revision,Kallermann Revision,728,721,378,76,267,0,454,7
35649417,Harboe Consult,Harboe Consult,715,713,568,95,50,0,663,0
17871080,VH Revision,VH Revision,673,673,427,224,22,0,651,0
10158117,Rådgivning & Revision,Rådgivning & Revision,669,665,427,18,218,2,445,4
26993695,Dansk Revision Esbjerg,Dansk Revision Esbjerg,667,658,475,152,30,1,627,8
