accounting_office_cvr,accounting_office_name,declarations,audits,reviews,extended_reviews,assistance,other_types,class_b,class_b_assistance,class_b_extended_reviews,class_b_audits,class_b_reviews,class_other,addressable_annual_reports,auditors_with_mne,source_names
32895468,Beierholm,35200,7439,313,10194,17239,15,34234,17236,10193,6491,313,951,27429,226,Beierholm
45719375,BDO,24556,2993,8,9538,11964,53,23764,11964,9538,2253,8,738,21502,193,BDO
33771231,PricewaterhouseCoopers,16447,7601,12,4042,4570,222,14246,4570,4042,5613,12,1985,8612,176,PricewaterhouseCoopers
24213714,Deloitte,13553,6101,31,4653,2617,151,11991,2617,4651,4691,31,1410,7268,161,Deloitte
34209936,Grant Thornton,11860,1125,37,4340,6333,25,11571,6331,4338,862,37,266,10669,75,Grant Thornton
30700228,EY,10097,5538,31,1997,2209,322,8587,2209,1996,4348,31,1185,4205,109,EY
32285201,Martinsen,8483,1310,48,2749,4371,5,8324,4368,2749,1157,48,156,7117,46,Martinsen
29442789,Redmark,6247,1392,6,1750,3096,3,6122,3095,1750,1271,6,122,4845,45,Redmark
15807776,Partner Revision,5599,989,3,1511,3094,2,5461,3094,1511,852,3,137,4605,29,Partner Revision
25492145,RSM,5383,653,22,1425,3281,2,5299,3280,1425,572,22,82,4705,41,RSM
35257691,Baker Tilly Denmark,3888,845,8,1212,1823,0,3815,1823,1212,772,8,73,3035,22,Baker Tilly Denmark
15915641,Christensen Kjærulff,3140,765,20,933,1420,2,3053,1420,933,679,20,86,2353,27,Christensen Kjærulff
19263096,Inforevision,3069,1199,18,677,1173,2,2976,1163,671,1123,18,69,1834,21,Inforevision
37543128,Roesgaard,2914,959,2,804,1148,1,2809,1148,804,854,2,105,1952,16,Roesgaard
31824559,Sønderup,1922,180,24,530,1186,2,1899,1186,530,159,24,21,1716,16,Sønderup + Sønderup Godkendt Revisionsaktieselskab
33241763,Aaen & Co.,1684,272,4,412,994,2,1666,994,412,256,4,16,1406,8,Aaen & Co.
37315664,Revisionshuset Tal & Tanker,1636,70,9,512,1045,0,1633,1045,512,67,9,3,1557,14,Revisionshuset Tal & Tanker
18061635,Sønderjyllands revision,1615,288,1,636,690,0,1569,690,636,242,1,46,1326,11,Sønderjyllands revision
36029374,BUUS JENSEN I/S STATSAUTORISEREDE REVISORER,1523,522,29,269,703,0,1499,703,269,498,29,24,972,13,Buus Jensen
37999687,"JS Revision, Godkendt Revisionsaktieselskab",1413,121,1,242,1049,0,1408,1049,242,116,1,5,1291,5,"JS Revision, Godkendt Revisionsaktieselskab"
25160037,Piaster Revisorerne,1389,216,2,361,807,3,1376,807,361,204,2,12,1168,10,Piaster Revisorerne
