accounting_office_name,accounting_office_cvr,audits,reviews,extended_reviews,assistance,total_declarations,total_analyses,active_users,distinct_clients_analysed,first_activity_date,latest_activity_date,analyses_per_declaration,adoption_score
Grant Thornton,34209936,945,45,4246,6130,11366,4306,83,518,2024-06-06,2026-06-15,0.378849,0.378849
Revisionsfirmaet Edelbo,35486178,429,0,145,411,985,540,19,71,2024-11-12,2026-06-15,0.548223,0.548223
Skov Revision,27525989,8,1,79,267,355,451,17,44,2024-04-05,2026-06-13,1.270423,1.270423
Revisionsfirmaet Axel Gram,16645699,1,0,94,194,289,252,6,39,2024-03-13,2026-06-13,0.871972,0.871972
Powered-By Statsautoriseret Revisionspartnerselskab,44282380,15,0,220,321,556,223,17,44,2024-10-23,2026-06-10,0.401079,0.401079
BUUS JENSEN I/S STATSAUTORISEREDE REVISORER,36029374,513,33,252,699,1497,162,3,19,2024-11-11,2026-05-23,0.108216,0.108216
Dansk Revision Århus,26717671,68,9,146,401,624,143,15,22,2024-05-03,2026-06-11,0.229167,0.229167
Danrevi Løgstør,10019699,2,0,2,1,5,138,7,21,2024-11-18,2026-06-10,27.600000,27.600000
Leif Mikkelsen & Partnere,32676421,22,0,147,445,614,127,7,18,2024-04-03,2026-05-19,0.206840,0.206840
Revimidt,34480370,11,1,70,357,439,102,6,17,2026-01-27,2026-05-28,0.232346,0.232346
RevisorGruppen I/S,34953619,0,0,0,0,0,91,8,18,2025-03-20,2026-05-06,0.000000,0.000000
Kreston CM,39463113,317,4,244,654,1219,68,7,13,2024-11-29,2026-06-15,0.055783,0.055783
Lægård Revision,18437082,45,2,150,351,548,56,1,7,2024-03-25,2025-04-29,0.102190,0.102190
Albjerg,35382879,347,4,83,646,1080,53,2,7,2025-09-16,2026-06-11,0.049074,0.049074
Piaster Revisorerne,25160037,219,2,345,782,1348,42,1,5,2025-10-07,2025-11-19,0.031157,0.031157
Beierholm,32895468,6691,342,9929,17040,34002,38,9,13,2024-06-13,2026-05-12,0.001118,0.001118
Roesgaard,37543128,860,2,776,1132,2770,32,1,3,2025-01-31,2026-02-24,0.011552,0.011552
Plature,38732420,0,0,0,0,0,26,1,1,2025-11-18,2026-04-17,0.000000,0.000000
Krøyer Pedersen Statsautoriserede Revisorer,89224918,9,13,4,159,185,23,2,3,2024-11-05,2025-06-03,0.124324,0.124324
EY,30700228,4321,30,1802,2173,8326,20,5,7,2024-09-10,2025-02-10,0.002402,0.002402
Dansk Revision Slagelse,29919801,38,3,241,540,822,18,1,1,2025-03-17,2025-09-23,0.021898,0.021898
"Ri, Statsautoriseret Revisionsaktieselskab",53371914,0,0,0,0,0,17,3,5,2024-09-23,2024-11-01,0.000000,0.000000
Martinsen,32285201,1187,50,2670,4243,8150,13,1,2,2024-09-23,2024-10-07,0.001595,0.001595
Partner Revision,15807776,893,2,1477,3043,5415,13,1,1,2024-05-27,2024-08-13,0.002401,0.002401
Ellebæk Revision godkendt revisionsanpartsselskab,43325000,15,0,21,70,106,11,2,3,2025-10-03,2026-02-13,0.103774,0.103774
Taleco ApS,30525035,0,0,0,0,0,9,1,1,2024-09-16,2026-02-20,0.000000,0.000000
LPOG ApS,33167288,17,1,115,319,452,8,2,2,2024-10-11,2024-10-11,0.017699,0.017699
