accounting_office_name,accounting_office_cvr,total_declarations,total_analyses,adoption_score,untapped_potential,potential_at_10_percent,potential_at_20_percent,potential_at_30_percent
Beierholm,32895468,34002,38,0.001118,33964,3400,6800,10201
BDO,45719375,18285,0,0.000000,18285,1828,3657,5486
PricewaterhouseCoopers,33771231,14124,1,0.000071,14123,1412,2825,4237
Deloitte,33963556,11739,0,0.000000,11739,1174,2348,3522
EY,30700228,8326,20,0.002402,8306,833,1665,2498
Martinsen,32285201,8150,13,0.001595,8137,815,1630,2445
Grant Thornton,34209936,11366,4306,0.378849,7060,1137,2273,3410
Redmark,29442789,6117,5,0.000817,6112,612,1223,1835
Partner Revision,15807776,5415,13,0.002401,5402,542,1083,1624
RSM,25492145,5029,0,0.000000,5029,503,1006,1509
Baker Tilly Denmark,35257691,3789,0,0.000000,3789,379,758,1137
Christensen Kjærulff,15915641,3037,0,0.000000,3037,304,607,911
Inforevision,19263096,2932,0,0.000000,2932,293,586,880
Roesgaard,37543128,2770,32,0.011552,2738,277,554,831
Revisionshuset Tal & Tanker,37315664,1739,0,0.000000,1739,174,348,522
Sønderjyllands revision,18061635,1561,0,0.000000,1561,156,312,468
Aaen & Co.,33241763,1449,0,0.000000,1449,145,290,435
"JS Revision, Godkendt Revisionsaktieselskab",37999687,1405,0,0.000000,1405,140,281,422
BUUS JENSEN I/S STATSAUTORISEREDE REVISORER,36029374,1497,162,0.108216,1335,150,299,449
Piaster Revisorerne,25160037,1348,42,0.031157,1306,135,270,404
Sønderup Godkendt Revisionsaktieselskab,45907880,1302,0,0.000000,1302,130,260,391
Kovsted & Skovgård,38751646,1250,3,0.002400,1247,125,250,375
Baagøe Schou,21148148,1183,3,0.002536,1180,118,237,355
Aros,29690065,1178,0,0.000000,1178,118,236,353
Kreston CM,39463113,1219,68,0.055783,1151,122,244,366
Crowe,33256876,1113,0,0.000000,1113,111,223,334
Addere Revision,34589992,1057,0,0.000000,1057,106,211,317
Albjerg,35382879,1080,53,0.049074,1027,108,216,324
RéVision+ Statsautoriseret Revisionsanpartsselskab,41695609,933,0,0.000000,933,93,187,280
Dansk Revision Odense,82218912,917,0,0.000000,917,92,183,275
Krøyer Pedersen Statsautoriserede Revisorer P/S,45922391,877,0,0.000000,877,88,175,263
Øernes Revision,37121924,872,0,0.000000,872,87,174,262
Revisionscentret Aabenraa,29695636,868,4,0.004608,864,87,174,260
KPMG,25578198,839,0,0.000000,839,84,168,252
Nærrevision,17524305,826,0,0.000000,826,83,165,248
Dansk Revision Slagelse,29919801,822,18,0.021898,804,82,164,247
Ullits & Winther,32093272,809,7,0.008653,802,81,162,243
Dansk Revision Søborg,14649905,802,0,0.000000,802,80,160,241
Kvalitetsrevision,36480254,783,0,0.000000,783,78,157,235
Dansk Revision Holbæk,28853343,774,0,0.000000,774,77,155,232
