accounting_office_name,accounting_office_cvr,active_users,total_analyses,top_3_user_share,implementation_risk
Grant Thornton,34209936,83,4306,0.430562,LOW
Revisionsfirmaet Edelbo,35486178,19,540,0.472222,LOW
Skov Revision,27525989,17,451,0.503326,LOW
Revisionsfirmaet Axel Gram,16645699,6,252,0.742063,MEDIUM
Powered-By Statsautoriseret Revisionspartnerselskab,44282380,17,223,0.547085,LOW
BUUS JENSEN I/S STATSAUTORISEREDE REVISORER,36029374,3,162,1.000000,HIGH
Dansk Revision Århus,26717671,15,143,0.552448,LOW
Danrevi Løgstør,10019699,7,138,0.782609,MEDIUM
Leif Mikkelsen & Partnere,32676421,7,127,0.708661,MEDIUM
Revimidt,34480370,6,102,0.647059,MEDIUM
RevisorGruppen I/S,34953619,8,91,0.725275,MEDIUM
Kreston CM,39463113,7,68,0.779412,MEDIUM
Lægård Revision,18437082,1,56,1.000000,HIGH
Albjerg,35382879,2,53,1.000000,HIGH
Piaster Revisorerne,25160037,1,42,1.000000,HIGH
Beierholm,32895468,9,38,0.763158,MEDIUM
Roesgaard,37543128,1,32,1.000000,HIGH
Plature,38732420,1,26,1.000000,HIGH
Krøyer Pedersen Statsautoriserede Revisorer,89224918,2,23,1.000000,HIGH
EY,30700228,5,20,0.850000,HIGH
Dansk Revision Slagelse,29919801,1,18,1.000000,HIGH
"Ri, Statsautoriseret Revisionsaktieselskab",53371914,3,17,1.000000,HIGH
Martinsen,32285201,1,13,1.000000,HIGH
Partner Revision,15807776,1,13,1.000000,HIGH
Ellebæk Revision godkendt revisionsanpartsselskab,43325000,2,11,1.000000,HIGH
Taleco ApS,30525035,1,9,1.000000,HIGH
LPOG ApS,33167288,2,8,1.000000,HIGH
Copenhagen Management Accounting Company ApS,33932464,1,8,1.000000,HIGH
Aage Maagensen,12901038,1,7,1.000000,HIGH
Ullits & Winther,32093272,1,7,1.000000,HIGH
E-conomia Consulting ApS,44268965,1,7,1.000000,HIGH
PKF Munkebo Vindelev,14119299,1,6,1.000000,HIGH
Roknskaparfelagið skrásettir grannskoðarar Sp/f,413887,2,6,1.000000,HIGH
Redmark,29442789,1,5,1.000000,HIGH
Revisionsfirmaet Gutfelt,13254192,1,5,1.000000,HIGH
PJ Køleteknik ApS,37654795,1,5,1.000000,HIGH
Regnskabsvirksomheden Schaumburg/Bendtsen ApS,28655835,1,5,1.000000,HIGH
Revisionscentret Aabenraa,29695636,1,4,1.000000,HIGH
ERASMUS & PARTNERE A/S,28493584,1,4,1.000000,HIGH
Regnskabsfokus,33578628,1,4,1.000000,HIGH
RevisorGruppen I/S,31481945,1,4,1.000000,HIGH
The White Box,40612246,1,4,1.000000,HIGH
Baagøe Schou,21148148,1,3,1.000000,HIGH
Kovsted & Skovgård,38751646,1,3,1.000000,HIGH
Kreston SR,33948794,1,3,1.000000,HIGH
Stoisk,28919719,1,2,1.000000,HIGH
PricewaterhouseCoopers,33771231,1,1,1.000000,HIGH
Erhvervshus Midtjylland S/I,40084606,1,1,1.000000,HIGH
Gaaga,42027995,1,1,1.000000,HIGH
NM Regnskab ApS,44729989,1,1,1.000000,HIGH
RegnskabsHuset.com,18067676,1,1,1.000000,HIGH
RegnskabsHuset.com,42495654,1,1,1.000000,HIGH
RevisorGruppen I/S,32938213,1,1,1.000000,HIGH
Sand bogholderi,42269425,1,1,1.000000,HIGH
Taleco ApS,39446235,1,1,1.000000,HIGH
Vestjysk Consulting,30498674,1,1,1.000000,HIGH
#VALUE!,27083978,1,1,1.000000,HIGH
2+ Revision,39701863,0,0,0.000000,HIGH
2+ Revision Grønland Statsautoriserede Revisorer ApS,42793744,0,0,0.000000,HIGH
2A Revision,37903949,0,0,0.000000,HIGH
2TalRevision,29091331,0,0,0.000000,HIGH
2TalRevision v/Jan Christensen,20935790,0,0,0.000000,HIGH
3H Revision,98088857,0,0,0.000000,HIGH
A Albrechtsen Revision,10291984,0,0,0.000000,HIGH
A Revision,18186144,0,0,0.000000,HIGH
A. Bjørn - Statsautoriseret revisionsanpartsselskab,30898664,0,0,0.000000,HIGH
A4 Revsion,29205043,0,0,0.000000,HIGH
AA revisionsanpartsselskabet,27607764,0,0,0.000000,HIGH
Aaen & Co.,33241763,0,0,0.000000,HIGH
Aage & Povl Holm,14759840,0,0,0.000000,HIGH
ABL Revision,39702215,0,0,0.000000,HIGH
ABM-Revision,29234590,0,0,0.000000,HIGH
Abrahamsen Revision,41109483,0,0,0.000000,HIGH
AB-Revision,26624479,0,0,0.000000,HIGH
AC Revision - Registreret Revisionsanpartsselskab,35050469,0,0,0.000000,HIGH
Activ-Revision,90566059,0,0,0.000000,HIGH
ADDCO P/S Godkendte Revisorer,36464852,0,0,0.000000,HIGH
Addere Revision,34589992,0,0,0.000000,HIGH
Addvisers,32888658,0,0,0.000000,HIGH
Advisor-Revision,34213798,0,0,0.000000,HIGH
Advosion,37557064,0,0,0.000000,HIGH
Afrodite Hår og Trend v/Rita Truelsen,26916402,0,0,0.000000,HIGH
Agenda Revision,32160565,0,0,0.000000,HIGH
Agerbor Gruppen,31742781,0,0,0.000000,HIGH
Agillix Fmba,45000370,0,0,0.000000,HIGH
Agri Nord,29038597,0,0,0.000000,HIGH
AHJ Revision,27489559,0,0,0.000000,HIGH
