mne,revisor,ao_firma,revision,review,udvidet_gennemgang,assistance,distinkte_kunder,aktive_kunder,uudnyttede_kunder,klasse_b,total
mne23324,Poul Spencer Poulsen,PricewaterhouseCoopers,180,0,85,126,391,0,391,326,391
mne32096,Tom Østergaard,Partner Revision,49,0,86,293,428,4,424,422,428
mne41306,Karin German Jensen,Grant Thornton,8,0,57,84,149,13,136,147,149
mne33822,Michael Daugaard Hansen,Kreston SR,14,0,16,64,94,0,94,93,94
mne23420,Søren Høgsgaard Andersen,Partner Revision,20,0,163,203,386,2,384,382,386
mne34028,Henrik Dalgaard,Partner Revision,30,0,52,132,214,0,214,204,214
mne30211,Hans Jørgen Burgaard Andersen,PricewaterhouseCoopers,46,0,18,42,106,1,105,91,106
mne34456,Lene Kamper Jørgensen,EY,52,0,8,9,70,0,70,56,69
mne27864,Henning Tønder Olesen,PricewaterhouseCoopers,71,5,54,88,218,0,218,208,218
mne40029,Karen Jørgensen,EY,1,0,0,5,6,0,6,6,6
mne16922,Flemming Brunsgaard Mørup,Anker Høst,5,0,89,213,307,0,307,307,307
mne18547,Jeanette Staal,BDO,5,0,44,27,77,0,77,75,76
mne1167,Per Michael Riis,SR Revision,29,0,111,169,309,1,308,306,309
mne47795,Kevin Mejborn Schøller,Beierholm,4,0,22,71,97,0,97,95,97
mne35811,Lasse Fuglsbæk Berg,PricewaterhouseCoopers,136,0,53,89,282,1,281,254,278
mne35391,Jacob Rask,BDO,17,0,103,222,342,0,342,340,342
mne18474,Jørgen Louring Poulsen,TJEK Revision & Rådgivning,0,0,26,45,71,0,71,71,71
mne11645,Erling Kirk Brødbæk,Martinsen,36,0,100,246,382,1,381,377,382
mne34173,Rene Winther Pedersen,Deloitte,62,0,122,64,248,0,248,224,248
mne32848,Peter Vinderslev,Partner Revision,64,0,160,289,514,3,511,506,513
mne34484,Jakob Stiel Korshøj,BDO,3,0,57,77,137,0,137,135,137
mne29369,Claus Boy Michelsen,Dansk Revision Sønderborg,15,0,67,163,245,0,245,238,245
mne43455,Morten Olesen,Partner Revision,20,2,49,156,227,0,227,225,227
mne33212,Rene Aagesen,RéVision+ Statsautoriseret Revisionsanpartsselskab,11,1,118,412,542,2,540,542,542
mne33207,Thomas Skou Jacobsen,Beierholm,122,9,112,141,384,2,382,365,384
mne26713,Jørgen Jakobsen,Beierholm,47,1,160,121,329,1,328,316,329
mne48490,Kenneth Taulbjerg,Krøyer Pedersen Statsautoriserede Revisorer P/S,5,1,21,43,70,0,70,70,70
mne35388,Michael Rathleff Algren,Advosion,19,0,80,182,281,1,280,280,281
mne7435,Henning Kjær,Revision- og Regnskabskontoret,28,0,2,61,91,0,91,91,91
mne1442,Torsten Sørensen Kruse,Kruse Revision,0,0,0,6,6,0,6,6,6
Ukendt revisor,Ukendt revisor,Ukendt revisorfirma,1095,2,1076,879,3696,26,3670,2856,3052
mne44109,Boye Graversen,Beierholm,32,1,66,173,272,0,272,267,272
mne34467,Kasper Sand Jensen,Beierholm,6,6,44,89,145,0,145,145,145
mne34095,Lonnie Regitze Østervig,Søby Revisorer,9,0,37,103,149,0,149,149,149
mne10823,Ole Baastrup Søndergaard,Partner Revision,0,0,62,69,131,0,131,131,131
mne49147,Kamilla Gadgaard Jensen,Martinsen,35,0,56,35,127,0,127,119,126
mne49962,Dennis Jarl Jensen,Revision Ry & Hammel,9,0,12,66,87,4,83,87,87
mne21334,Claus Hammer-Pedersen,EY,101,0,11,23,138,0,138,112,135
mne31444,Uffe Larsen,Krøyer Pedersen Statsautoriserede Revisorer P/S,17,6,40,110,173,0,173,172,173
mne19693,Niels Christian Schjøth,Sønderjyllands revision,29,0,68,130,227,0,227,223,227
mne29469,Frans Thorup Dahl,"Dahl, Rask & Partnere",4,0,72,89,165,1,164,164,165
mne29393,Lars Bjerregaard Nielsen,Deloitte,41,0,279,53,373,0,373,352,373
mne32066,Alex Kirkegaard,Ullits & Winther,47,0,58,63,168,0,168,157,168
mne3097,Chresten Clemmensen,Beierholm,0,0,30,47,77,0,77,77,77
mne11348,Klaus Arvad Johansen,VH Revision,1,0,106,189,296,5,291,296,296
mne19674,Tage Holm,RSM,15,1,58,92,166,0,166,164,166
mne34536,Jesper Resdal Thomsen,Beierholm,64,0,221,252,537,0,537,524,537
mne33686,Jørn Dam Jensen,Martinsen,119,4,142,220,485,2,483,466,485
mne369,Mathias Peder Attermann Brinch,MPB Consult,0,0,0,8,8,0,8,8,8
mne24825,Henrik Pungvig Jensen,EY,50,0,63,90,204,2,202,193,203
mne41367,Anders Noe,BDO,6,0,85,81,172,1,171,168,172
mne35838,Dorrit Kirckhoff Hansen,Roesgaard,117,1,107,189,414,1,413,407,414
