mne,pub_month,antal,aktive
mne32096,6,90,0
mne41306,12,13,1
mne33822,11,7,0
mne23420,2,25,0
mne34028,2,16,0
mne30211,3,14,1
mne34456,3,14,0
mne27864,6,62,0
mne40029,12,4,0
mne16922,1,14,0
mne18547,7,9,0
mne1167,6,86,0
mne47795,5,15,0
mne35811,11,13,0
mne35391,3,42,0
mne18474,6,34,0
mne11645,2,23,0
mne11645,1,24,0
mne32848,12,49,1
mne34484,7,25,0
mne29369,7,59,0
mne32096,10,27,0
mne43455,4,31,0
mne33212,3,71,0
mne26713,4,32,1
mne48490,3,19,0
mne35388,10,15,0
mne7435,6,23,0
mne1442,9,1,0
mne44109,6,69,0
mne34467,5,10,0
mne34095,11,18,0
mne10823,6,31,0
mne49147,9,5,0
mne35811,10,8,0
mne49962,6,42,0
mne21334,6,44,0
mne31444,10,11,0
mne29469,10,2,0
mne29393,7,35,0
mne3097,6,17,0
Ukendt revisor,7,273,1
mne11348,5,34,0
mne19674,11,6,0
mne34536,10,24,0
mne33686,5,44,0
mne369,5,2,0
mne24825,6,69,1
mne41367,4,19,0
mne35838,2,44,0
mne35811,5,33,1
mne4173,1,22,1
mne34272,6,102,0
mne35664,2,9,0
mne31397,10,10,0
Ukendt revisor,11,146,0
mne30151,2,15,0
mne46609,6,63,1
mne1826,6,83,1
mne30224,6,125,3
mne10084,7,33,0
mne18473,6,52,0
mne32792,6,60,0
mne29432,5,22,0
mne45861,11,9,0
mne27708,11,5,0
mne34099,3,23,0
mne32204,4,35,0
mne23324,7,54,0
mne29393,12,44,0
mne35822,6,100,0
mne35430,1,13,0
mne17323,3,39,0
mne503,6,24,0
mne40065,6,96,5
mne1341,7,86,0
mne10547,6,66,0
mne7504,12,13,0
mne40065,5,35,6
mne48483,6,75,4
mne49042,3,23,0
mne31387,12,26,0
mne34336,9,20,0
mne2376,6,51,0
mne16813,12,26,0
mne34502,12,35,0
mne17386,12,8,0
mne47791,12,10,0
mne26783,12,19,0
mne41365,6,115,0
mne46607,11,7,0
mne35803,3,21,0
mne50559,9,11,0
mne32736,11,18,0
mne35808,6,55,2
mne46636,11,12,0
mne31412,12,10,0
mne604,11,6,1
mne15784,6,17,0
mne17402,6,66,0
mne34460,5,5,0
mne32774,12,17,0
mne47904,6,35,0
mne167,1,4,0
mne36182,1,20,0
mne27873,3,40,1
mne32205,11,15,0
mne23297,11,5,0
mne29432,6,63,0
mne40962,4,13,4
mne26714,4,15,0
mne19744,6,79,2
mne607,5,6,0
mne34162,1,12,0
mne9748,2,14,0
mne28683,6,69,0
mne33725,12,41,0
mne33197,6,22,0
mne27741,6,72,0
mne35460,7,28,0
mne2573,9,6,0
mne23420,5,32,0
mne10734,7,30,0
mne11348,7,18,0
mne17138,6,100,0
mne18898,6,27,0
mne33196,6,89,0
mne2896,7,44,0
mne23414,3,21,0
mne31404,11,51,0
mne15370,6,13,0
mne35822,4,40,0
mne48483,9,3,0
mne867,3,15,0
mne35822,3,35,0
mne45930,3,25,0
mne46629,7,27,0
mne47808,12,12,0
mne27741,12,19,0
mne31413,12,7,0
mne34289,6,89,0
mne34518,3,22,3
mne32849,6,81,0
mne27866,3,52,0
mne27873,2,12,0
mne44151,2,14,0
mne5783,3,27,0
mne34316,3,30,0
mne10427,3,2,0
mne27773,5,11,0
mne24820,3,43,0
mne35391,4,32,0
mne34371,7,15,0
mne46610,6,68,0
mne12488,5,6,0
mne24638,7,17,0
mne15931,7,16,0
mne2427,6,29,0
mne34095,5,31,0
mne49105,4,12,0
mne7947,6,23,0
mne34109,3,13,0
mne35413,5,39,0
mne16817,2,4,0
mne15931,6,58,0
mne3901,3,26,0
mne21381,8,5,0
mne196,3,8,0
mne26713,3,66,0
mne24737,6,21,0
mne35810,7,10,0
Ukendt revisor,12,314,3
mne31436,3,21,0
mne8217,3,24,0
mne28659,12,11,0
mne18623,7,17,0
Ukendt revisor,3,279,1
mne34103,6,132,1
mne35805,12,11,2
mne30145,4,36,0
mne34506,6,137,0
mne18617,4,17,0
mne23324,6,87,0
mne24773,5,6,0
mne33693,12,19,0
mne11348,10,23,0
mne34289,4,40,0
mne36029,5,35,0
mne34371,6,72,0
mne27703,10,24,0
mne30154,6,23,0
mne34546,11,9,0
mne17021,5,58,0
mne1826,7,19,0
mne12006,11,8,0
mne47422,3,37,0
mne34028,6,34,0
mne35464,6,65,0
mne46626,1,25,0
mne46586,4,12,0
mne35838,6,76,0
mne34144,6,58,0
mne45845,6,78,0
mne32056,4,44,0
mne32750,6,91,0
mne29432,7,60,0
mne41306,10,3,0
mne27773,3,10,0
mne29476,10,14,0
mne32128,11,18,0
mne11062,9,6,0
mne33779,6,106,0
mne32133,6,58,1
mne32750,5,14,0
mne7480,5,19,0
mne23293,7,27,0
mne23328,5,11,0
mne31463,11,6,0
mne46609,5,22,0
mne12488,6,31,0
mne33708,6,62,0
mne34536,7,66,0
mne31470,5,57,4
mne19698,3,46,0
mne47767,6,81,0
mne35420,4,26,0
mne35801,6,39,0
Ukendt revisor,6,593,8
mne16922,2,18,0
mne12040,6,14,0
mne29390,3,7,0
mne23294,4,37,0
mne34103,4,95,0
mne33708,11,3,0
mne31480,7,148,0
mne23333,7,26,3
mne18473,7,25,0
mne12510,10,15,0
mne31480,3,76,1
mne34333,6,39,0
mne23297,3,15,0
mne42184,4,10,0
mne33689,6,87,0
mne26753,1,8,0
mne34302,6,28,0
mne45833,5,24,0
mne33762,2,21,0
mne41365,5,50,0
mne35464,10,11,0
mne23304,6,95,0
mne34028,5,27,0
mne26694,4,20,0
mne17138,11,30,0
mne19789,1,6,0
mne34512,6,50,0
mne17814,6,38,0
mne19688,6,51,0
mne28629,1,12,0
mne17138,12,27,0
mne32372,12,23,0
mne41365,12,21,0
mne10547,9,3,0
mne34099,6,67,0
mne26713,1,25,0
mne42794,4,37,0
mne27873,7,33,0
mne33194,3,23,0
mne34536,11,25,0
mne27866,2,36,0
mne33854,10,25,0
mne29356,3,17,1
mne6529,10,21,0
mne44113,4,6,0
mne26753,5,20,0
mne17319,5,17,0
mne23420,4,35,0
mne27737,2,4,0
mne33710,6,41,0
mne23279,5,14,0
mne33207,2,16,0
mne49099,6,76,0
mne34276,2,30,0
mne34373,11,4,0
mne1341,9,7,0
mne50653,6,53,1
mne31481,9,8,0
mne30127,4,10,1
mne28606,3,34,0
mne50633,3,5,0
mne26734,4,22,0
mne33854,1,8,0
mne26734,6,81,0
mne32728,2,18,0
mne32231,1,12,0
mne18495,3,6,0
mne15429,5,45,0
mne18574,7,26,0
mne32848,4,45,0
mne12488,3,11,0
mne29497,6,65,0
mne1277,2,3,0
mne31458,4,16,0
mne34536,2,17,0
mne23366,6,99,1
mne12588,11,7,0
mne36182,12,47,0
mne34543,5,11,0
mne33209,11,17,0
mne11645,8,4,0
mne15784,9,2,0
mne35794,9,4,1
mne33686,9,7,0
mne33822,12,13,0
mne23293,11,20,0
mne26778,7,38,0
mne47813,12,16,0
mne34472,6,47,0
mne33723,5,32,0
mne33773,1,15,0
mne35388,7,18,0
mne41313,11,22,0
mne42285,12,61,0
mne33195,6,63,0
mne30193,6,80,0
mne29393,3,57,0
mne15242,10,5,0
mne27738,1,5,0
mne41312,6,25,0
mne35801,10,5,0
mne33256,1,16,0
mne41367,11,6,0
mne26695,1,16,0
mne41367,5,16,0
mne27768,11,28,0
mne44108,6,71,0
mne27768,10,19,0
mne34522,6,34,0
mne42794,7,78,0
mne9642,6,27,0
mne32133,5,55,0
mne46636,1,18,0
mne28659,6,61,0
mne42773,2,41,0
mne34336,4,32,3
mne30224,5,55,0
mne47767,7,16,0
mne28606,12,22,0
mne23334,6,40,0
mne36186,1,23,0
mne29497,12,41,0
mne32748,10,2,0
mne34324,9,14,0
mne33854,3,53,0
mne11106,2,5,0
mne17154,6,29,0
mne43455,12,13,0
mne10954,2,7,0
mne3376,6,20,0
mne33722,11,11,0
mne33693,7,15,0
mne33212,2,33,0
mne23297,6,35,0
mne24638,6,40,0
mne32064,4,24,0
mne33224,3,31,3
mne31429,6,46,0
mne18625,6,55,0
mne26804,3,4,0
mne11469,5,15,0
mne32733,6,92,0
mne42817,4,11,0
mne31400,4,16,1
mne31457,5,32,0
mne31477,11,14,0
mne47824,5,45,0
mne3376,5,11,0
mne34140,3,37,0
mne35664,6,29,0
mne42794,2,22,0
mne2896,6,76,1
mne34554,4,13,0
mne12199,3,30,0
mne36189,3,9,0
mne42773,11,6,0
mne33198,4,44,0
mne6353,10,26,0
mne26771,6,136,1
mne33779,3,24,0
mne33753,6,115,2
mne10887,5,6,0
mne24822,4,21,0
mne24807,2,2,0
mne29466,11,6,0
mne29462,6,72,0
mne27701,6,48,0
mne34108,9,22,0
mne34108,5,42,0
mne5657,10,14,0
mne10746,11,2,0
mne32848,1,26,0
mne34536,6,155,0
mne24769,12,19,1
mne33710,9,8,0
mne35478,6,59,1
mne50559,6,95,0
mne33761,11,14,0
mne30183,3,39,0
mne32221,1,10,0
mne35789,6,30,0
mne48471,3,21,2
mne16302,6,18,0
mne47785,1,13,0
mne36190,9,13,0
mne34339,7,12,0
mne31400,5,28,3
mne35834,3,21,1
mne34496,6,73,0
mne23414,10,19,0
mne42828,3,36,1
mne35438,7,53,3
mne33755,6,214,1
mne23368,3,11,0
mne15429,6,68,0
mne34271,3,31,0
mne16826,7,26,2
mne31412,5,41,1
mne36029,3,11,0
mne21318,7,35,0
mne32743,7,18,0
mne11903,1,4,0
mne34321,3,35,0
mne47822,6,66,0
mne19677,11,17,3
mne27741,7,38,0
mne28661,2,24,0
mne33198,7,32,0
mne34103,5,63,0
mne17340,5,8,0
mne5657,5,29,0
mne17021,6,100,0
mne30224,1,4,1
mne24684,12,14,0
mne11748,6,45,0
mne51045,10,1,0
mne34140,1,22,0
mne29419,7,35,0
mne27742,4,40,0
mne36183,2,19,0
mne26734,2,26,0
mne23294,3,26,0
mne48482,1,20,0
mne17225,10,10,0
mne29390,6,27,0
mne32739,4,34,0
mne32128,6,24,0
mne16912,6,54,7
mne33195,5,15,1
mne33198,5,39,0
mne23368,6,32,0
mne689,10,14,0
mne43455,5,34,0
mne46587,11,5,0
mne862,3,27,0
mne34442,10,12,0
mne23324,11,33,0
mne34289,10,9,0
mne3913,1,4,0
mne2584,6,15,0
mne35471,5,28,0
mne33198,12,22,0
mne34517,6,73,0
mne15969,5,37,0
mne32785,3,161,0
mne31373,6,63,0
mne33244,5,48,0
mne35388,6,66,1
mne32181,4,35,0
mne33854,6,109,1
mne42784,3,164,0
mne11645,6,107,1
mne34088,2,21,0
mne48482,3,17,0
mne196,4,5,0
mne12488,11,5,0
mne32133,3,19,0
mne26762,6,54,0
mne48482,4,48,0
mne29420,1,16,0
mne34276,3,67,2
mne27703,5,54,0
mne28666,6,36,0
mne35463,5,6,0
mne34276,7,56,0
mne31397,6,67,0
mne49112,6,56,0
mne23420,1,23,0
mne19699,11,17,1
mne32107,6,75,0
mne21381,2,18,0
mne19698,4,79,0
mne32857,8,3,0
mne16912,2,9,0
mne33762,5,32,0
mne11745,6,105,0
mne1547,3,31,0
mne45892,7,4,0
mne10948,6,64,0
mne32735,6,103,0
mne33714,6,126,0
mne24813,11,15,0
mne33693,2,26,0
mne47904,12,4,0
mne46610,2,17,0
mne33707,10,7,0
mne35437,12,5,0
mne19677,7,51,3
mne16560,8,4,0
mne33686,12,50,1
mne34554,5,15,1
mne31488,6,56,0
mne34274,7,12,0
mne42793,7,55,0
mne33733,11,23,0
mne16868,11,3,0
mne26695,6,81,0
mne30224,4,56,1
mne34272,7,27,0
mne43455,11,19,0
mne6428,9,4,0
mne7480,6,35,1
mne3109,6,54,0
mne23366,5,45,0
mne34520,1,19,0
